orgnr,navn,orgform,ansatte,naeringskode,adresse,postnr,poststed,telefon,hjemmeside,antallUnderenheter
"830300252","=SPORT AS","AS","","Dataprogrammeringstjenester","Bekkevollvegen 17","6414","MOLDE","","","0"
"935546826","1128 INVEST AS","AS","","Uoppgitt","Saksegjerdet 17","6456","SKÅLA","","","1"
"932726734","1852TST AS","AS","","Annen teknisk konsulentvirksomhet","Ingrids veg 10","6429","MOLDE","","","0"
"929337557","2040 NORWAY AS","AS","","Engroshandel med informasjons- og kommunikasjonsteknologiutstyr","Storgata 9","6413","MOLDE","","","1"
"997198913","24-SUPPORT JB CHROBOK","ENK","","Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer","Bjørsetbovegen 8","6410","MOLDE","","www.24-support.no","0"
"998824141","2MBM AS","AS","","Utleie av egen eller leid fast eiendom","c/o Per Olav Myrstad Nerlandsvegen 43","6416","MOLDE","","","1"
"936584489","2ML INVEST AS","AS","","Uoppgitt","v/Magne Bolme Tanners veg 31","6412","MOLDE","","","1"
"992126434","2RZ HOLDING AS","AS","","Revisjon","Sagvegen 2B","6412","MOLDE","","","1"
"993230898","3L INVEST AS","AS","","Utleie av egen eller leid fast eiendom","Storgata 9","6413","MOLDE","","","0"
"933487040","3XE EIENDOM AS","AS","","Utleie av egen eller leid fast eiendom","Birger Hatlebakks veg 22","6415","MOLDE","","","1"
"933119394","3XE HOLDING AS","AS","","Utleie av egen eller leid fast eiendom","c/o Team Trafikkskole AS Birger Hatlebakks veg 22","6415","MOLDE","","","1"
"828269402","62 KAPITAL AS","AS","","Dataprogrammeringstjenester","c/o Norik AS Aker Stadion, inngang 7 Julsundvegen 14","6412","MOLDE","","","1"
"979788134","A A SVENSLI MEKANISKE","ENK","","Produksjon av maskiner og utstyr til generell bruk ikke nevnt annet sted","Åsagardvegen 81","6460","EIDSVÅG I ROMSDAL","71 23 22 91","","1"
"953627884","A DYRHAUG","ENK","","Detaljhandel med kjæledyr og varer til kjæledyr","Hamnevikbøen 29","6456","SKÅLA","71240731","","0"
"930388033","A HALVORSEN INVEST AS","AS","","Uoppgitt","Gangstadvegen 21","6475","MIDSUND","","","0"
"918628908","A HUSTAD","ENK","","Fotografvirksomhet","Bjørkfinkvegen 49","6425","MOLDE","","","1"
